task,method,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,decision,failure_flags,result_image,review_grid,notes
red_chair_blue,adaptive_full_generic_support,12,5,4,5,1,4,pass,success,outputs/pretty_matrix/red_chair_blue/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair becomes blue; local preservation good
red_chair_blue,support_v3_controller_rmsgap,10,5,4,5,1,5,pass,success,outputs/pretty_matrix/red_chair_blue/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair becomes blue with good locality and stable room
red_chair_blue,support_v3_controller_rmsgap,11,5,4,5,1,5,pass,success,outputs/pretty_matrix/red_chair_blue/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair becomes blue with good locality and stable room
red_chair_blue,support_v3_controller_rmsgap,12,5,4,5,1,5,pass,success,outputs/pretty_matrix/red_chair_blue/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair becomes blue with good locality and stable room
pillow_vertical_fabric_strip,base_only,10,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/pillow_vertical_fabric_strip/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,base reconstruction; no silk strip expected
pillow_vertical_fabric_strip,base_only,11,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/pillow_vertical_fabric_strip/base_only/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,base reconstruction; no silk strip expected
pillow_vertical_fabric_strip,base_only,12,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/pillow_vertical_fabric_strip/base_only/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,base reconstruction; no silk strip expected
pillow_vertical_fabric_strip,direct_target,10,2,1,1,4,1,reject,over_edit;background_drift,outputs/pretty_matrix/pillow_vertical_fabric_strip/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,severe scene/crop drift; blue silk appears on lower foreground rather than as a pillow-local strip
pillow_vertical_fabric_strip,direct_target,11,2,1,1,4,1,reject,over_edit;background_drift,outputs/pretty_matrix/pillow_vertical_fabric_strip/direct_target/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,severe scene/crop drift; blue silk appears on lower foreground rather than as a pillow-local strip
pillow_vertical_fabric_strip,direct_target,12,2,1,1,4,1,reject,over_edit;background_drift,outputs/pretty_matrix/pillow_vertical_fabric_strip/direct_target/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,severe scene/crop drift; blue silk appears on lower foreground rather than as a pillow-local strip
pillow_vertical_fabric_strip,adaptive_full_generic_support,10,3,4,4,1,2,borderline,under_edit;borderline,outputs/pretty_matrix/pillow_vertical_fabric_strip/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,"stable scene with a visible blue vertical seam, but coverage is too thin/dark for the canonical T5 result"
pillow_vertical_fabric_strip,adaptive_full_generic_support,11,3,4,4,1,2,borderline,under_edit;borderline,outputs/pretty_matrix/pillow_vertical_fabric_strip/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,"stable scene with a visible blue vertical seam, but coverage is too thin/dark for the canonical T5 result"
pillow_vertical_fabric_strip,adaptive_full_generic_support,12,3,4,4,1,2,borderline,under_edit;borderline,outputs/pretty_matrix/pillow_vertical_fabric_strip/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,"stable scene with a visible blue vertical seam, but coverage is too thin/dark for the canonical T5 result"
pillow_vertical_fabric_strip,support_v3_controller_rmsgap,10,5,5,5,1,5,pass,success,outputs/pretty_matrix/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,vertical blue silk strip follows pillow perspective; softened top seam and clean bottom edge with no seat leakage
pillow_vertical_fabric_strip,support_v3_controller_rmsgap,11,5,5,5,1,5,pass,success,outputs/pretty_matrix/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,vertical blue silk strip follows pillow perspective; softened top seam and clean bottom edge with no seat leakage
pillow_vertical_fabric_strip,support_v3_controller_rmsgap,12,5,5,5,1,5,pass,success,outputs/pretty_matrix/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/pillow_vertical_fabric_strip_audit_grid.png,vertical blue silk strip follows pillow perspective; softened top seam and clean bottom edge with no seat leakage
backpack_remove_toy_charm,base_only,10,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,base reconstruction; toy remains
backpack_remove_toy_charm,base_only,11,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,base reconstruction; toy remains
backpack_remove_toy_charm,base_only,12,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,base reconstruction; toy remains
backpack_remove_toy_charm,direct_target,10,4,2,2,3,2,borderline,artifact;over_edit;borderline,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,main toy removed but pouch/strap area deforms and introduces artifacts
backpack_remove_toy_charm,direct_target,11,4,2,2,3,2,borderline,artifact;over_edit;borderline,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,main toy removed but pouch/strap area deforms and introduces artifacts
backpack_remove_toy_charm,direct_target,12,4,2,2,3,2,borderline,artifact;over_edit;borderline,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,main toy removed but pouch/strap area deforms and introduces artifacts
backpack_remove_toy_charm,adaptive_full_generic_support,10,1,5,5,1,1,reject,removal_failure,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,toy charm remains
backpack_remove_toy_charm,adaptive_full_generic_support,11,1,5,5,1,1,reject,removal_failure,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,toy charm remains
backpack_remove_toy_charm,adaptive_full_generic_support,12,1,5,5,1,1,reject,removal_failure,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,toy charm remains
backpack_remove_toy_charm,support_v3_controller_rmsgap,10,5,5,5,1,5,pass,success,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,toy doll removed while bag surface and background stay stable
backpack_remove_toy_charm,support_v3_controller_rmsgap,11,5,5,5,1,5,pass,success,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,toy doll removed while bag surface and background stay stable
backpack_remove_toy_charm,support_v3_controller_rmsgap,12,5,5,5,1,5,pass,success,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/backpack_remove_toy_charm_audit_grid.png,toy doll removed while bag surface and background stay stable
