base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,edit_scale,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,lpips_full_max,lpips_full_mean,lpips_full_min,lpips_outside_max,lpips_outside_mean,lpips_outside_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_fixed,0.0992991030216217,0.09882380565007527,0.09834674000740051,1.0,0.18338057398796082,0.18302005529403687,0.18267489969730377,0.09722447395324707,0.09635672966639201,0.09569960832595825,0.1684819906949997,0.16786445180575052,0.16749128699302673,0.11966319382190704,0.11946176985899608,0.11930271238088608,3,0.04583289474248886,0.04583078250288963,0.045828454196453094,0.903721067085305,0.9036321374007215,0.9035131423993964,0.0964868576006036,0.0963678625992785,0.09627893291469503,dog_sunglasses
support_v3_fixed,0.09896078705787659,0.09822633862495422,0.0969836413860321,1.25,0.18806177377700806,0.1877996325492859,0.18746499717235565,0.09436064958572388,0.09351381659507751,0.09257149696350098,0.16767215728759766,0.1669844686985016,0.16658291220664978,0.12027046084403992,0.12026447554429372,0.12025861442089081,3,0.04593430832028389,0.0459255687892437,0.0459209680557251,0.9025822494848548,0.9024136969217075,0.9022607304645291,0.09773926953547085,0.09758630307829264,0.09741775051514523,dog_sunglasses
support_v3_fixed,0.09708735346794128,0.09492751955986023,0.09287551045417786,1.5,0.1945805549621582,0.1934460053841273,0.19253484904766083,0.09063208103179932,0.08984968066215515,0.08919548988342285,0.16834311187267303,0.1669340431690216,0.16574878990650177,0.1207512617111206,0.1206682821114858,0.1205826848745346,3,0.0460536889731884,0.04603709032138189,0.04601246863603592,0.900406630485452,0.9002724369437095,0.9001863401821308,0.09981365981786916,0.09972756305629049,0.099593369514548,dog_sunglasses
support_v3_fixed,0.09573313593864441,0.09475740790367126,0.09340336918830872,2.0,0.21611854434013367,0.21568027635415396,0.21534574031829834,0.09071451425552368,0.08953686555226643,0.08724573254585266,0.16950321197509766,0.16913913687070212,0.1687318980693817,0.1204376220703125,0.12031114598115285,0.12014910578727722,3,0.0462280809879303,0.04620251928766569,0.04617994651198387,0.8929897274342454,0.8927894414648835,0.8925567675980485,0.10744323240195153,0.10721055853511648,0.10701027256575457,dog_sunglasses
support_v3_controller_rmsgap,0.050968289375305176,0.05075683196385702,0.05054476857185364,0.5,0.056338030844926834,0.0561502439280351,0.05583639442920685,0.06458777189254761,0.06420857707659404,0.06381240487098694,0.06842319667339325,0.06836876769860585,0.0683109238743782,0.029532279819250107,0.029424880320827167,0.029333297163248062,3,0.007455646060407162,0.007446493798245986,0.007435895036906004,0.9054354147041866,0.9052548646846633,0.905090132705415,0.09490986729458495,0.09474513531533668,0.09456458529581335,mug_heart
support_v3_controller_rmsgap,0.04541650414466858,0.04516071081161499,0.044862329959869385,0.75,0.07221696525812149,0.07030571003754933,0.06879272311925888,0.059782594442367554,0.059441218773523964,0.059131622314453125,0.07585500925779343,0.07529594252506892,0.07480831444263458,0.045534443110227585,0.04349088172117869,0.04227857664227486,3,0.00761721795424819,0.007557459796468417,0.007504134904593229,0.8796881900405352,0.8782527951591675,0.8756707346948519,0.1243292653051481,0.12174720484083246,0.12031180995946478,mug_heart
support_v3_controller_rmsgap,0.043876856565475464,0.04371177156766256,0.04342848062515259,1.0,0.07655200362205505,0.07649566233158112,0.07645389437675476,0.05981391668319702,0.05941900610923767,0.05877837538719177,0.07711979746818542,0.07704242567221324,0.07699275016784668,0.05338026583194733,0.051381707191467285,0.04870685189962387,3,0.00771446293219924,0.007699151212970416,0.007680205162614584,0.8679630492542187,0.8678829200134284,0.8677303571007767,0.13226964289922327,0.13211707998657163,0.13203695074578126,mug_heart
support_v3_controller_rmsgap,0.04252025485038757,0.042312224706014,0.04208210110664368,1.25,0.08412593603134155,0.08309770623842876,0.08181320875883102,0.06094369292259216,0.06034320592880249,0.05943399667739868,0.07959837466478348,0.07944560796022415,0.07916264235973358,0.06202013045549393,0.0611849290629228,0.06049538776278496,3,0.007943791337311268,0.007894139736890793,0.00785684585571289,0.8561312220586182,0.8548259757252153,0.853772254544409,0.14622774545559103,0.14517402427478454,0.14386877794138175,mug_heart
support_v3_controller_rmsgap,0.04431360960006714,0.04419112205505371,0.044016122817993164,1.5,0.08468160778284073,0.0843942662080129,0.08398710936307907,0.058791160583496094,0.057954092820485435,0.05691853165626526,0.07971595227718353,0.07950499405463536,0.07938328385353088,0.06338329613208771,0.06267846003174782,0.062013041228055954,3,0.00805645901709795,0.00801850389689207,0.00798137579113245,0.8537639989788842,0.8529993861725041,0.8522048095068195,0.14779519049318046,0.14700061382749594,0.14623600102111578,mug_heart
support_v3_controller_rmsgap,0.04616972804069519,0.04588888088862101,0.045427799224853516,2.0,0.0842927098274231,0.0832740490635236,0.08239852637052536,0.061974138021469116,0.061569044987360634,0.06102108955383301,0.08064812421798706,0.07991734643777211,0.07928687334060669,0.06515675038099289,0.063784825305144,0.06219184398651123,3,0.008223595097661018,0.008152575232088566,0.008064164780080318,0.8515879400105336,0.8505406845561607,0.8496881299954444,0.1503118700045556,0.1494593154438393,0.14841205998946638,mug_heart
