condition,delta_inside_mask_l1,delta_local_clip_target_minus_source,delta_lpips_outside,delta_outside_mask_l1,delta_source_ssim_luma,delta_ssim_loss,family,seed,task
dilate,-0.0010918378829956055,-0.002666860818862915,-0.005902990698814392,-0.0005766581743955612,0.004874773236855701,-0.004874773236855701,support_perturb,11,mug_heart
dilate,0.005928143858909607,-0.004482865333557129,0.004691042006015778,-0.0003124559298157692,-0.011955532499307808,0.011955532499307808,support_perturb,12,mug_heart
erode,-0.0002097366377711296,-0.0007165968418121338,-2.831965684890747e-05,2.4153850972652435e-06,0.00045168978916831914,-0.00045168978916831914,support_perturb,10,mug_heart
erode,-0.000234873965382576,0.00010910630226135254,-1.156143844127655e-05,5.091074854135513e-06,0.0004987685085088289,-0.0004987685085088289,support_perturb,11,mug_heart
erode,-0.00019679218530654907,-1.8268823623657227e-05,-8.802488446235657e-05,7.879454642534256e-06,0.0004542169904356852,-0.0004542169904356852,support_perturb,12,mug_heart
holes,-0.000516839325428009,0.0012263059616088867,-0.0008089579641819,-8.450588211417198e-05,-0.001962300387727267,0.001962300387727267,support_perturb,10,mug_heart
holes,-0.002388879656791687,-0.0013415217399597168,-0.0033682435750961304,-0.00017471471801400185,-0.0021889895556930217,0.0021889895556930217,support_perturb,11,mug_heart
holes,-0.0014786645770072937,0.0021904706954956055,-0.0008451789617538452,-7.623294368386269e-05,2.5808572720831258e-05,-2.5808572720831258e-05,support_perturb,12,mug_heart
shift,-0.0017080828547477722,0.0013042092323303223,-0.0033774003386497498,-0.00014247559010982513,0.0018864758995404962,-0.0018864758995404962,support_perturb,10,mug_heart
shift,-0.0018791742622852325,0.0017780661582946777,-0.0034244805574417114,-0.00013556424528360367,0.0013708546959644297,-0.0013708546959644297,support_perturb,11,mug_heart
shift,-0.0016641952097415924,0.0008186101913452148,-0.0032547637820243835,-0.00013176072388887405,0.0013483497394030097,-0.0013483497394030097,support_perturb,12,mug_heart
