base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,lpips_full_max,lpips_full_mean,lpips_full_min,lpips_outside_max,lpips_outside_mean,lpips_outside_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,perturbation,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.0563887357711792,0.05208484331766764,0.045618683099746704,0.07123920321464539,0.06349892914295197,0.05953602120280266,0.06636196374893188,0.06445920467376709,0.061654120683670044,0.07554562389850616,0.07142699261506398,0.06822603195905685,0.04531289264559746,0.03526970433692137,0.030143432319164276,3,0.007616684306412935,0.007514942592630784,0.007456168532371521,boundary_noise,0.8970882089112384,0.8895535962346005,0.8774544707417752,0.12254552925822482,0.11044640376539956,0.10291179108876158,mug_heart
support_v3_controller_rmsgap,0.047397345304489136,0.045924981435139976,0.04322674870491028,0.1454477161169052,0.12945616245269775,0.1063338965177536,0.06056573987007141,0.05548726518948873,0.05280601978302002,0.11029757559299469,0.10214408735434215,0.09327369183301926,0.101725734770298,0.08649691194295883,0.07394539564847946,3,0.015480649657547474,0.013207489314178625,0.010259201750159264,dilate,0.8174835206452614,0.7847547106397772,0.7562621247543583,0.24373787524564172,0.21524528936022277,0.18251647935473858,mug_heart
support_v3_controller_rmsgap,0.05761200189590454,0.05744080742200216,0.057271212339401245,0.011536396108567715,0.011532644741237164,0.011529268696904182,0.07093054056167603,0.07047967116038005,0.07008674740791321,0.04161892831325531,0.04159849757949511,0.04158274829387665,0.01914600096642971,0.01911550263563792,0.01909053698182106,3,0.006897288840264082,0.006894609269996484,0.006891729775816202,erode,0.9668184663753836,0.9668049048815668,0.966796381767368,0.03320361823263196,0.03319509511843314,0.0331815336246164,mug_heart
support_v3_controller_rmsgap,0.050073474645614624,0.04906620581944784,0.047239065170288086,0.07070735841989517,0.06582109381755193,0.0626210868358612,0.06418782472610474,0.06258727113405864,0.061761826276779175,0.07369795441627502,0.07135667651891708,0.06951894611120224,0.03241988644003868,0.03105369582772255,0.030092716217041016,3,0.007540272548794746,0.0074737231868008775,0.007419336587190628,holes,0.8956924622362559,0.8870308184074652,0.879410112704051,0.120589887295949,0.11296918159253473,0.10430753776374413,mug_heart
support_v3_controller_rmsgap,0.054537177085876465,0.05445716778437296,0.054409950971603394,0.059415966272354126,0.05919928972919782,0.05891939252614975,0.060144007205963135,0.05975984533627828,0.05919799208641052,0.06875526160001755,0.06869783252477646,0.06865305453538895,0.03831099718809128,0.03816754619280497,0.038073256611824036,3,0.00867162924259901,0.008667175037165483,0.008662126027047634,shift,0.8984597848857648,0.8983183508082108,0.8982405588973649,0.10175944110263513,0.10168164919178917,0.10154021511423517,mug_heart
support_v3_fixed,0.05488058924674988,0.05031697948773702,0.04399457573890686,0.07305759936571121,0.06483507404724757,0.06065712124109268,0.06616535782814026,0.06379527846972148,0.06057620048522949,0.07628759741783142,0.07265685498714447,0.06987383961677551,0.047607652842998505,0.03727276995778084,0.03147416189312935,3,0.007737177889794111,0.0076422542333602905,0.007557242643088102,boundary_noise,0.8984418564312429,0.8895333368421166,0.8759082582496149,0.12409174175038507,0.11046666315788345,0.10155814356875714,mug_heart
support_v3_fixed,0.046914130449295044,0.045746823151906334,0.04393187165260315,0.14653955399990082,0.12789940337340036,0.10649992525577545,0.058145731687545776,0.0570638378461202,0.055472880601882935,0.10981589555740356,0.10304538160562515,0.09343046694993973,0.09703469276428223,0.08686539034048717,0.07984838634729385,3,0.015793105587363243,0.013514582999050617,0.010291368700563908,dilate,0.8181826514973765,0.787348007344633,0.7682176572536661,0.2317823427463339,0.21265199265536705,0.18181734850262354,mug_heart
support_v3_fixed,0.05627283453941345,0.05611299475034078,0.05599135160446167,0.011764142662286758,0.011746445670723915,0.011729061603546143,0.07082143425941467,0.07068825761477153,0.07043999433517456,0.04244120419025421,0.04242683822909991,0.04240584373474121,0.019178561866283417,0.0191581379622221,0.019138289615511894,3,0.006889718119055033,0.006889480631798506,0.006889314390718937,erode,0.9663481767127806,0.9663366797855293,0.9663196978668748,0.03368030213312523,0.03366332021447075,0.033651823287219385,mug_heart
support_v3_fixed,0.05068477988243103,0.04913391669591268,0.04742872714996338,0.07122419774532318,0.06728255500396092,0.0640997514128685,0.06310334801673889,0.061895519495010376,0.060585856437683105,0.07485274225473404,0.07280558347702026,0.07138670980930328,0.033460959792137146,0.03272782266139984,0.0314936637878418,3,0.007624778430908918,0.007585541034738223,0.00753779336810112,holes,0.895666653663535,0.8884059788643651,0.8813724130917783,0.11862758690822173,0.11159402113563492,0.10433334633646496,mug_heart
support_v3_fixed,0.05359053611755371,0.053535660107930504,0.0534915030002594,0.06108016148209572,0.06094977383812269,0.06079856678843498,0.05883979797363281,0.05845955014228821,0.058159470558166504,0.07166863977909088,0.07159169763326645,0.07152892649173737,0.04156576097011566,0.041519761085510254,0.04149578511714935,3,0.00880460161715746,0.008803775223592917,0.008803334087133408,shift,0.8968922091579619,0.8967831240299082,0.8965733089862243,0.10342669101377566,0.10321687597009181,0.10310779084203814,mug_heart
