base_method,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_fixed,True,holes,,0.0617236328125,support_perturb,0.044999998062849045,0.18620456755161285,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_holes/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_holes,,0.04577823355793953,holes,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_holes/seed_10/result.png,53.556570451008156,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05444585904479027,A front-facing portrait of a dog in snow.,0.9029242703679591,0.09707572963204092,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,shift,,0.0617236328125,support_perturb,0.04906249791383743,0.19770100712776184,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_shift/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_shift,,0.04606250301003456,shift,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_shift/seed_10/result.png,55.83417176397052,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05542219802737236,A front-facing portrait of a dog in snow.,0.8990674147805431,0.10093258521945692,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,baseline,,0.04050409226190476,baseline,0.0368303582072258,0.0760190337896347,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.007690246682614088,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/result.png,55.68586693494581,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010457840748131275,A minimalist photo of a plain white ceramic mug on a grey background.,0.8684338296111612,0.13156617038883878,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,baseline,,0.04050409226190476,baseline,0.0368303582072258,0.07590516656637192,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.007678629830479622,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/result.png,55.63680581189692,11,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010442081838846207,A minimalist photo of a plain white ceramic mug on a grey background.,0.867867441659776,0.13213255834022397,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,baseline,,0.04050409226190476,baseline,0.0368303582072258,0.0767437294125557,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.007729328703135252,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/result.png,52.30513237998821,12,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010524693876504898,A minimalist photo of a plain white ceramic mug on a grey background.,0.8671068717388233,0.13289312826117672,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,050,0.5,0.04050409226190476,edit_strength,0.0368303582072258,0.05583639442920685,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit050/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit050,,0.007435895036906004,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit050/seed_10/result.png,54.031500897952355,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.00939631275832653,A minimalist photo of a plain white ceramic mug on a grey background.,0.9054354147041866,0.09456458529581335,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,075,0.75,0.04050409226190476,edit_strength,0.0368303582072258,0.06879272311925888,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit075/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit075,,0.007504134904593229,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit075/seed_10/result.png,51.638258830062114,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.0099865747615695,A minimalist photo of a plain white ceramic mug on a grey background.,0.8796881900405352,0.12031180995946478,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,100,1.0,0.04050409226190476,edit_strength,0.0368303582072258,0.07648108899593353,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit100/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit100,,0.00771446293219924,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit100/seed_10/result.png,53.540627634036355,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.01049979217350483,A minimalist photo of a plain white ceramic mug on a grey background.,0.8679553536852896,0.13204464631471036,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,125,1.25,0.04050409226190476,edit_strength,0.0368303582072258,0.08181320875883102,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit125/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit125,,0.00785684585571289,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit125/seed_10/result.png,51.41648722998798,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010852382518351078,A minimalist photo of a plain white ceramic mug on a grey background.,0.8561312220586182,0.14386877794138175,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,150,1.5,0.04050409226190476,edit_strength,0.0368303582072258,0.08468160778284073,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit150/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit150,,0.00805645901709795,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit150/seed_10/result.png,53.9559012579266,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.011160090565681458,A minimalist photo of a plain white ceramic mug on a grey background.,0.8522048095068195,0.14779519049318046,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
support_v3_controller_rmsgap,True,boundary_noise,,0.04050409226190476,support_perturb,0.0368303582072258,0.07123920321464539,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_boundary_noise,,0.007616684306412935,boundary_noise,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/result.png,47.340066128992476,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010193658992648125,A minimalist photo of a plain white ceramic mug on a grey background.,0.8774544707417752,0.12254552925822482,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
